DEA_CODE;DEA_NOM_COMMERCE;ADRESSE_LIVRAISON;DEA_CODE_POSTAL_LIVRAISON;DEA_COMMUNE_LIVRAISON;INSEE_LIVRAISON;X_GEOCODAGE;Y_GEOCODAGE;TCO_LIBELLE
540188;Le Havane;9   R. de la Station;92600;Asnières-sur-Seine;92004;596189,533000;2434247,307000;café tabac
540189; Papeterie Stade de ;79   rue Danielle Casanova;93200;Saint-Denis;93066;602304,112720;2436289,818848;tabac librairie
540190;Le Balto;29   R.de Paris;93380;Pierrefitte-sur-Seine;93059;601747,711190;2440746,298107;café tabac
540191;Le Royal Club;222   avenue du président Wilson;93210;La Plaine-Saint-Denis;93900;601580,858571;2435209,316721;café tabac
540192;Le Winston;91   Av. du Roule;92200;Neuilly-sur-Seine;92051;595377,602000;2431679,062000;café tabac
540193;Le Clemenceau;4   Quai Georges Clemenceau;78380;Bougival;78092;585483,779278;2429913,589706;tabac presse
540194;La Coupole D'Argent;1   R. Chantecoq;92800;Puteaux;92062;592862,809065;2431606,252974;tabac presse
540195;Le Paris Neuilly;1   Pl. Parmentier;92200;Neuilly-sur-Seine;92051;595808,900000;2431348,850000;tabac loto
540196;Le Saint Claude;33   R. des Bourets;92150;Suresnes;92073;592008,634715;2430072,357970;café tabac
540198;Tabac Totem;81   Av. du Général de Gaulle;92800;Puteaux;92062;592298,216334;2432044,449334;tabac presse
540199;Kiosque de la Mairie;133   Av. Achille Peretti;92200;Neuilly-sur-Seine;92051;595049,881470;2431793,218579;presse
540200;Le Brazza;13   R. du Château;92200;Neuilly-sur-Seine;92051;594473,874524;2431975,341022;tabac loto
540201;Le Havane;18   Pl. du Marché;92200;Neuilly-sur-Seine;92051;595484,144916;2431349,385700;café tabac
540202;Civette de Neuilly;105   Av.Charles de Gaulle;92200;Neuilly-sur-Seine;92051;595198,630000;2431426,379000;tabac loto
540203;Le Chiquito;5   R. des Bas Rogers;92150;Suresnes;92073;592588,277000;2431271,898000;café tabac
540204;Le Flore;108   R. Jean Jaurès;92800;Puteaux;92062;592959,283000;2431606,586000;café tabac
540205;Tabac Bécon;11   Bis Av. de la Liberté;92400;Courbevoie;92026;595017,466174;2434042,384397;tabac loto
